Has a citizen made a request for compliance?,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),Is there a built up Curb Ramp?,"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp? (inches),Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Minimum width of marked Cross Walk? (99 if no Cross Walk),Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Are there Traffic Signals?,Are there Pedestrian Signals?,Is there a push button within reach of sidewalk?,Latitude,Longitude,Street,Crossing Street (or Facility),Ramp Direction,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp?,Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Is there a push button within reach of sidewalk?,Total Curb Ramp Condition Score,Total Gutter Slope Condition Score,Total Adjacent Walk Condition Score,Total Crosswalk Condition Score,Total Ped Signal Condition Score,Total Condition  Score,Has a citizen made a request for compliance?,Population Density,Senior Population Density,Disabled Population Density,Distance from Public Places,Distance form Transit Route,Total Location Rating,TOTAL RATING
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,1.1,47,0.2,6.8,1,57,2.2,0.1,Yes,99,3.7,1.2,No,No,No,41.704199,-87.803323,103rd Street,74th Avenue,SW,0,0,0,0,,0,10,0,0,10,0,0,0,0,7,0,0,0,0,,20,0,7,0,,27,0,3,5,3,5,3,19,46
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,2,57,0.5,2.1,1.3,60,3,1.6,Yes,99,0.5,1.5,No,No,No,41.704156,-87.804871,103rd Street,75th Avenue,SE,0,0,0,0,,0,10,0,0,0,0,0,0,0,7,0,0,0,0,,10,0,7,0,,17,0,3,5,3,7,3,21,38
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,0.2,54,0.6,3,3,60,1.9,0.4,Yes,99,2.5,0.8,No,No,No,41.704158,-87.805039,103rd Street,75th Avenue,SW,0,0,0,0,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,,10,0,3,5,3,7,3,21,31
No,No,Yes,Yes,Yes,99,No,No,No,Yes,2.4,55,2.2,0.9,0.2,58,6.1,2.3,Yes,99,9.9,0.3,No,No,No,41.704125,-87.806566,103rd Street,75th Court,SE,0,0,0,0,,10,10,0,10,0,10,0,0,0,7,0,0,4,0,,40,0,7,4,,51,0,3,5,3,7,0,18,69
No,No,Yes,Yes,Yes,12.3,No,No,No,Yes,0.1,40,1.3,4.7,1.6,60,1.5,4.6,Yes,99,5.5,2.5,No,No,No,41.704121,-87.806753,103rd Street,75th Court,SW,0,0,0,0,5,10,10,0,0,10,0,0,0,0,0,0,0,4,0,,35,0,0,4,,39,0,3,5,3,7,0,18,57
No,No,No,No,No,99,No,No,No,Yes,2.8,99,99,99,4,60,2.8,0.1,Yes,99,1.3,2.1,Yes,Yes,No,41.704378,-87.808086,103rd Street,76th Avenue,NW,0,20,10,10,,10,10,0,10,,,,0,0,7,0,0,0,0,3,70,0,7,0,3,80,0,5,3,5,7,0,20,100
No,No,Yes,Yes,No,99,No,Yes,No,Yes,0.7,56,0.8,0.1,2.7,56,1,3,Yes,99,0.3,1.4,No,No,No,41.704252,-87.812571,103rd Street,78th Avenue,NW,0,0,0,10,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,,20,0,5,3,5,10,0,23,43
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1,55,1.3,2,11.6,60,1.2,4.4,Yes,99,2.8,1.3,No,No,No,41.70412,-87.818432,103rd Street,80th Court,NE,0,0,0,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,0,,20,3,0,0,,23,0,5,5,5,10,0,25,48
No,No,Yes,Yes,No,99,No,Yes,Yes,No,1.6,56,0.9,0.9,4.9,58,1,1,Yes,99,3.1,1.5,No,No,No,41.704116,-87.818606,103rd Street,80th Court,NW,0,0,0,10,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,,20,0,5,5,5,10,0,25,45
No,No,Yes,Yes,No,16.1,No,Yes,No,Yes,2.1,48,1.7,1.8,4.1,0.5,0.4,2.5,Yes,99,3,0.7,No,No,No,41.704103,-87.819703,103rd Street,81st Avenue,NE-E,0,0,0,10,5,0,10,0,10,0,0,0,0,7,0,0,0,0,0,,35,0,7,0,,42,0,5,5,5,10,0,25,67
No,No,Yes,Yes,No,99,No,Yes,No,Yes,2.1,51,0.7,3.2,3.6,60,0.2,2.3,Yes,72,0.6,5.2,No,No,No,41.704069,-87.819651,103rd Street,81st Avenue,NE-N,0,0,0,10,,0,10,0,10,0,0,0,0,0,0,0,0,0,3,,30,0,0,3,,33,0,5,5,5,10,0,25,58
No,No,Yes,Yes,No,16.3,No,Yes,No,Yes,5,48,7.4,0.7,0.4,58,0.6,1.9,Yes,99,4,2.3,No,No,No,41.70409,-87.819842,103rd Street,81st Avenue,NW-N,0,0,0,10,5,0,10,0,10,0,10,0,0,0,0,0,0,0,0,,45,0,0,0,,45,0,5,5,5,10,0,25,70
No,No,Yes,Yes,No,16.7,No,Yes,No,Yes,3.1,40,1,4.7,7.3,60,0.4,1.7,Yes,74,0.1,6.4,No,No,No,41.704057,-87.819849,103rd Street,81st Avenue,NW-W,0,0,0,10,5,0,10,0,10,10,0,0,3,0,0,0,0,0,3,,45,3,0,3,,51,0,5,5,5,10,0,25,76
No,No,Yes,Yes,Yes,99,No,No,No,Yes,0.3,49,0.5,0.8,2.4,44,1.5,0.2,Yes,99,2.9,3.8,No,No,No,41.703838,-87.819663,103rd Street,81st Avenue,SE-E,0,0,0,0,,10,10,0,0,0,0,0,0,7,0,0,0,0,0,,20,0,7,0,,27,0,3,5,3,10,0,21,48
No,No,Yes,Yes,Yes,99,No,No,No,Yes,1.4,48,1.2,0.8,5.6,47,1,0.6,Yes,72,1.3,6,No,No,No,41.703867,-87.819633,103rd Street,81st Avenue,SE-S,0,0,0,0,,10,10,0,0,0,0,0,3,7,0,0,0,0,3,,20,3,7,3,,33,0,3,5,3,10,0,21,54
No,No,Yes,Yes,Yes,15.7,No,Yes,No,Yes,4.3,54,0.5,5.2,6.2,60,2.4,0.4,Yes,72,0.7,3.7,No,No,No,41.703868,-87.81985,103rd Street,81st Avenue,SW-S,0,0,0,0,5,0,10,0,10,0,0,0,3,0,7,0,0,0,0,,25,3,7,0,,35,0,3,5,3,10,0,21,56
No,No,Yes,Yes,Yes,7.1,No,Yes,No,Yes,0.7,58,0.6,1.9,5.9,58,0.5,2.2,Yes,99,3.6,3.2,No,No,No,41.703819,-87.819771,103rd Street,81st Avenue,SW-W,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,,10,3,0,0,,13,0,3,5,3,10,0,21,34
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.5,48,1.1,1.5,3.9,60,0.8,4.2,Yes,99,0.4,3.7,No,No,No,41.704068,-87.820887,103rd Street,81st Court,NE-E,0,0,0,10,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,,20,0,5,5,5,10,0,25,45
No,No,Yes,Yes,No,99,No,Yes,Yes,No,3.4,58,1.5,2.4,3.5,56,3.6,3.8,Yes,99,1,2.6,No,No,No,41.704022,-87.820845,103rd Street,81st Court,NE-N,0,0,0,10,,0,0,10,10,0,0,0,0,0,7,0,0,0,0,,30,0,7,0,,37,0,5,5,5,10,0,25,62
No,No,Yes,Yes,No,99,No,Yes,No,Yes,2.1,48,1.7,2.9,5.2,60,2.6,1.9,Yes,99,0.7,1.1,No,No,No,41.70402,-87.821061,103rd Street,81st Court,NW-N,0,0,0,10,,0,10,0,10,0,0,0,3,0,7,0,0,0,0,,30,3,7,0,,40,0,5,5,5,7,0,22,62
No,No,Yes,Yes,No,99,No,Yes,No,Yes,0.5,48,0.6,3.4,6.3,60,1,1.1,Yes,99,2.4,2.2,No,No,No,41.704068,-87.821022,103rd Street,81st Court,NW-W,0,0,0,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,0,,20,3,0,0,,23,0,5,5,5,7,0,22,45
No,No,Yes,Yes,Yes,6.1,No,No,No,Yes,1.2,50,0.5,0.1,3.6,58,3,0.5,Yes,99,0.7,2.5,No,No,No,41.703817,-87.820893,103rd Street,81st Court,SE-E,0,0,0,0,0,10,10,0,0,0,0,0,0,0,7,0,0,0,0,,20,0,7,0,,27,0,3,5,3,7,0,18,45
No,No,Yes,Yes,Yes,16,No,Yes,No,Yes,2.6,49,0.9,3.1,1.5,56,2,4.9,Yes,99,0.6,1.9,No,No,No,41.703862,-87.820841,103rd Street,81st Court,SE-S,0,0,0,0,5,0,10,0,10,0,0,0,0,0,0,0,0,0,0,,25,0,0,0,,25,0,3,5,3,7,0,18,43
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,3.5,42,2.2,2.2,3.8,58,2.8,0.9,Yes,99,0.9,5,No,No,No,41.70386,-87.821065,103rd Street,81st Court,SW-S,0,0,0,0,,0,10,0,10,10,10,0,0,0,7,0,0,0,0,,40,0,7,0,,47,0,3,5,3,7,0,18,65
No,No,Yes,Yes,Yes,10.7,No,Yes,No,Yes,2.4,40,3.7,2.4,8.8,59,1.6,0.2,Yes,99,1.8,1.6,No,No,No,41.703812,-87.82101,103rd Street,81st Court,SW-W,0,0,0,0,5,0,10,0,10,10,10,0,3,0,0,0,0,0,0,,45,3,0,0,,48,0,3,5,3,7,0,18,66
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.6,60,2.4,0.4,7.8,60,1.5,1.3,Yes,99,1.5,0.4,No,No,No,41.704045,-87.822101,103rd Street,82nd Avenue,NE-E,0,0,0,10,,0,10,0,0,0,10,0,3,0,0,0,0,0,0,,30,3,0,0,,33,0,5,5,5,7,0,22,55
No,No,Yes,Yes,No,99,No,Yes,No,Yes,4.1,48,0.2,0.1,1.5,60,0.3,0.7,Yes,99,1.4,0.4,No,No,No,41.703994,-87.822063,103rd Street,82nd Avenue,NE-N,0,0,0,10,,0,10,0,10,0,0,0,0,0,0,0,0,0,0,,30,0,0,0,,30,0,5,5,5,7,0,22,52
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.8,60,0.1,1,5.9,60,1,0.3,Yes,99,0,2.7,No,No,No,41.703986,-87.822292,103rd Street,82nd Avenue,NW-N,0,0,0,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,0,,20,3,0,0,,23,0,5,5,5,7,0,22,45
No,No,Yes,Yes,No,99,No,Yes,No,Yes,2.5,48,2.5,4.4,4.4,60,1.5,0.1,Yes,99,2.2,1,No,No,No,41.704045,-87.822234,103rd Street,82nd Avenue,NW-W,0,0,0,10,,0,10,0,10,0,10,0,0,0,0,0,0,0,0,,40,0,0,0,,40,0,5,5,5,7,0,22,62
No,No,Yes,Yes,Yes,11.8,No,Yes,No,Yes,0.8,43,4.3,0.1,4.9,60,0.7,2.6,Yes,99,1.6,0.8,No,No,No,41.703796,-87.822106,103rd Street,82nd Avenue,SE-E,0,0,0,0,5,0,10,0,0,10,10,0,0,0,0,0,0,0,0,,35,0,0,0,,35,0,3,5,3,7,0,18,53
No,No,Yes,Yes,Yes,9.9,No,Yes,No,Yes,2.9,51,2.1,0.5,3.7,58,1.5,0,Yes,99,3,2.9,No,No,No,41.703845,-87.82206,103rd Street,82nd Avenue,SE-S,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,,30,0,0,0,,30,0,3,5,3,7,0,18,48
No,No,Yes,Yes,Yes,12.3,No,No,No,Yes,2.8,49,7,0.6,3.2,59,2.8,2.6,Yes,99,0.9,3,No,No,No,41.703865,-87.822275,103rd Street,82nd Avenue,SW-S,0,0,0,0,5,10,10,0,10,0,10,0,0,0,7,0,0,0,0,,45,0,7,0,,52,0,3,5,3,7,0,18,70
No,No,Yes,Yes,Yes,12.5,No,Yes,No,Yes,0.8,40,2.2,0.6,4.3,60,1,4.2,Yes,99,0.4,4.1,No,No,No,41.703798,-87.822214,103rd Street,82nd Avenue,SW-W,0,0,0,0,5,0,10,0,0,10,10,0,0,0,0,0,0,0,0,,35,0,0,0,,35,0,3,5,3,7,0,18,53
No,No,Yes,Yes,No,99,No,Yes,No,Yes,2.3,48,2.7,3.2,4.5,60,3.3,0.5,Yes,99,3.6,1.6,No,No,No,41.704021,-87.823322,103rd Street,82nd Court,NE,0,0,0,10,,0,10,0,10,0,10,0,0,0,7,0,0,0,0,,40,0,7,0,,47,0,5,5,5,7,0,22,69
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1,48,0.3,5.3,6,60,0.9,0.9,Yes,99,0.2,7.7,No,No,No,41.703967,-87.823496,103rd Street,82nd Court,NW-N,0,0,0,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,3,,20,3,0,3,,26,0,5,5,5,7,0,22,48
No,No,Yes,Yes,No,99,No,Yes,No,Yes,3.8,48,3.3,2.9,6,60,1.8,0.1,Yes,99,4.1,1.9,No,No,No,41.704023,-87.823443,103rd Street,82nd Court,NW-W,0,0,0,10,,0,10,0,10,0,10,0,3,0,0,0,0,0,0,,40,3,0,0,,43,0,5,5,5,7,0,22,65
No,No,Yes,Yes,Yes,9,No,No,No,Yes,5.5,44,1.4,1.7,8.2,58,1.4,0.7,Yes,99,4.5,4.5,No,No,No,41.703776,-87.823313,103rd Street,82nd Court,SE,0,0,0,0,0,10,10,0,10,10,0,0,3,0,0,0,0,0,0,,40,3,0,0,,43,0,3,5,3,7,0,18,61
No,No,Yes,Yes,Yes,14.8,No,Yes,No,Yes,1.6,52,1.1,5.5,3.9,59,1.8,7.1,Yes,99,0.7,3.7,No,No,No,41.703814,-87.823485,103rd Street,82nd Court,SW-S,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,7,0,0,0,,15,0,7,0,,22,0,3,5,3,7,0,18,40
No,No,Yes,Yes,Yes,10.8,No,Yes,No,Yes,3.4,49,3.3,0.6,7.9,59,2.5,2.6,Yes,99,4.6,4.3,No,No,No,41.703769,-87.823444,103rd Street,82nd Court,SW-W,0,0,0,0,5,0,10,0,10,0,10,0,3,0,7,0,0,0,0,,35,3,7,0,,45,0,3,5,3,7,0,18,63
No,No,No,No,No,99,No,No,No,Yes,4.2,50,99,99,5.1,59,0.7,2.5,Yes,99,3.4,4.7,No,No,No,41.70375,-87.824533,103rd Street,83rd Avenue,SE,0,20,10,10,,10,10,0,10,0,,,3,0,0,0,0,0,0,,70,3,0,0,,73,0,3,5,3,7,0,18,91
No,No,Yes,Yes,Yes,14.1,No,No,No,Yes,3.1,48,7.1,0.9,6.9,60,3.4,0.9,Yes,99,2.7,2.9,No,No,No,41.703748,-87.824661,103rd Street,83rd Avenue,SW,0,0,0,0,5,10,10,0,10,0,10,0,3,0,7,0,0,0,0,,45,3,7,0,,55,0,3,5,3,7,0,18,73
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.4,48,0.6,1.2,1.3,60,2.4,6.4,Yes,99,1.7,1.8,No,No,No,41.70396,-87.826959,103rd Street,84th Avenue,NE-E,0,0,0,10,,0,10,0,0,0,0,0,0,0,7,7,0,0,0,,20,0,14,0,,34,0,5,5,5,7,0,22,56
No,No,Yes,Yes,No,99,No,Yes,No,Yes,4.2,48,0.9,1.6,6,60,0.1,0,Yes,99,1.8,0.8,No,No,No,41.703891,-87.826898,103rd Street,84th Avenue,NE-N,0,0,0,10,,0,10,0,10,0,0,0,3,0,0,0,0,0,0,,30,3,0,0,,33,0,5,5,5,7,0,22,55
No,No,Yes,Yes,No,99,No,Yes,No,Yes,2.2,48,1.5,4.5,5.2,60,1.4,0.1,Yes,99,1.8,0.7,No,No,No,41.703892,-87.82715,103rd Street,84th Avenue,NW-N,0,0,0,10,,0,10,0,10,0,0,0,3,0,0,0,0,0,0,,30,3,0,0,,33,0,5,5,5,7,0,22,55
No,No,Yes,Yes,No,99,No,Yes,No,Yes,0.6,48,0.2,10.3,0.4,60,0.1,1.9,Yes,99,1.6,1.5,No,No,No,41.703959,-87.827094,103rd Street,84th Avenue,NW-W,0,0,0,10,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,,30,0,0,0,,30,0,5,5,5,7,0,22,52
No,No,Yes,Yes,Yes,6.7,No,Yes,No,Yes,4.3,42,2.6,2.4,1.9,60,5.8,8.2,Yes,99,2.1,4.4,No,No,No,41.703698,-87.826969,103rd Street,84th Avenue,SE-E,0,0,0,0,0,0,10,0,10,10,10,0,0,0,7,7,0,0,0,,40,0,14,0,,54,0,3,5,3,7,0,18,72
No,No,Yes,Yes,Yes,16.2,No,Yes,No,Yes,0.8,40,1.7,3.2,4.5,57,1.4,10.9,Yes,99,0.3,3.9,No,No,No,41.703764,-87.826893,103rd Street,84th Avenue,SE-S,0,0,0,0,5,0,10,0,0,10,0,0,0,0,0,7,0,0,0,,25,0,7,0,,32,0,3,5,3,7,0,18,50
No,No,Yes,Yes,Yes,7.5,No,No,No,Yes,4.7,71,5.2,5,6.8,49,4.7,1.4,Yes,99,1.6,0.7,No,No,No,41.703755,-87.827165,103rd Street,84th Avenue,SW-S,0,0,0,0,0,10,10,0,10,0,10,0,3,0,7,0,0,0,0,,40,3,7,0,,50,0,3,5,3,7,0,18,68
No,No,Yes,Yes,Yes,6.2,No,Yes,No,Yes,1.7,48,1.4,12.7,4.9,50,0.8,3.3,Yes,99,2.2,1.3,No,No,No,41.703701,-87.827095,103rd Street,84th Avenue,SW-W,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,,20,0,0,0,,20,0,3,5,3,7,0,18,38
No,No,Yes,Yes,No,99,No,Yes,No,Yes,4,48,3.1,0.7,2.5,60,3.9,5.2,Yes,99,2.6,3,No,No,No,41.703875,-87.831789,103rd Street,86th Avenue,NE-E,0,0,0,10,,0,10,0,10,0,10,0,0,0,7,7,0,0,0,,40,0,14,0,,54,0,5,5,5,10,0,25,79
No,No,Yes,Yes,No,14.2,No,Yes,No,Yes,4,48,1.8,1.1,5.3,60,3.2,3.8,Yes,72,3.9,5,No,No,No,41.703807,-87.831747,103rd Street,86th Avenue,NE-N,0,0,0,10,5,0,10,0,10,0,0,0,3,0,7,0,0,0,0,,35,3,7,0,,45,0,5,5,5,10,0,25,70
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.2,48,2.2,6.7,5.8,60,1.5,3.8,Yes,99,4.6,3.5,No,No,No,41.703867,-87.831917,103rd Street,86th Avenue,NW,0,0,0,10,,0,10,0,0,0,10,0,3,0,0,0,0,0,0,,30,3,0,0,,33,0,5,5,5,10,0,25,58
No,No,Yes,Yes,Yes,4.9,No,No,No,Yes,3.7,42,4.3,6.4,4.5,60,6.9,1.8,Yes,72,3.2,1.2,No,No,No,41.703689,-87.831736,103rd Street,86th Avenue,SE,0,0,0,0,0,10,10,0,10,10,10,0,0,0,7,0,0,0,0,,50,0,7,0,,57,0,3,5,3,10,0,21,78
No,No,Yes,Yes,No,99,No,No,No,Yes,1.1,60,1.7,4.8,7.2,60,1.9,1.3,Yes,99,2.9,4.5,No,No,No,41.703833,-87.833014,103rd Street,86th Court,NE,0,0,0,10,,10,10,0,0,0,0,0,3,0,0,0,0,0,0,,30,3,0,0,,33,0,5,5,5,10,0,25,58
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.1,48,0.9,0.4,1.6,60,1.8,0.9,Yes,99,1.2,0.2,No,No,No,41.70383,-87.833113,103rd Street,86th Court,NW,0,0,0,10,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,,20,0,5,5,5,10,0,25,45
No,No,Yes,Yes,No,99,No,Yes,No,Yes,0.6,48,0.9,1.7,11.4,60,0.8,0.3,Yes,99,3.9,9.1,No,No,No,41.70382,-87.834195,103rd Street,87th Avenue,NE-E,0,0,0,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,3,,20,3,0,3,,26,0,5,5,5,10,0,25,51
No,No,Yes,Yes,No,99,No,Yes,No,Yes,0.2,48,1.6,7.1,5.7,60,1.3,0.3,Yes,72,4.6,0.5,No,No,No,41.703775,-87.834169,103rd Street,87th Avenue,NE-N,0,0,0,10,,0,10,0,0,0,0,0,3,0,0,0,0,0,0,,20,3,0,0,,23,0,5,5,5,10,0,25,48
No,No,Yes,Yes,No,99,No,Yes,No,Yes,1.1,48,4.9,8.5,6.5,60,1.7,5.6,Yes,99,3,3,No,No,No,41.703769,-87.834372,103rd Street,87th Avenue,NW-N,0,0,0,10,,0,10,0,0,0,10,10,3,0,0,7,0,0,0,,40,3,7,0,,50,0,5,5,5,10,0,25,75
No,No,Yes,Yes,No,99,No,Yes,No,Yes,2.8,48,2.6,6,5.5,60,1.5,5,Yes,99,4,1,No,No,No,41.703816,-87.834324,103rd Street,87th Avenue,NW-W,0,0,0,10,,0,10,0,10,0,10,0,3,0,0,0,0,0,0,,40,3,0,0,,43,0,5,5,5,10,0,25,68
No,No,Yes,Yes,Yes,10.6,No,No,No,Yes,0.4,40,0.7,4.2,8.9,54,0.9,0.9,Yes,99,0.3,3,No,No,No,41.70368,-87.82816,103rd Street,Alta Drive,SE,0,0,0,0,5,10,10,0,0,10,0,0,3,0,0,0,0,0,0,,35,3,0,0,,38,0,3,5,3,7,0,18,56
